"StuID","ReceiptNo","PymtDt","PaidAmt","ModeOfPymt","ChequeNo","BankName","JobID","LastUpdatedDate"
"53","RCP000032","2013-05-20 00:00:00","300","Cash",,,"3","2013-05-20 00:00:00"
"54","RCP000000","2013-05-20 00:00:00","0","Select",NULL,NULL,"1","2013-05-20 00:00:00"
"46","RCP000033","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"47","RCP000034","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"51","RCP000035","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"43","RCP000036","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"42","RCP000037","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"54","RCP000038","2013-05-20 00:00:00","3500","Cash",,,"1","2013-05-20 00:00:00"
"55","RCP000000","2013-05-20 00:00:00","0","Select",NULL,NULL,"1","2013-05-20 00:00:00"
"56","RCP000000","2013-05-21 00:00:00","0","Select",NULL,NULL,"1","2013-05-21 00:00:00"
"57","RCP000000","2013-05-21 00:00:00","0","Select",NULL,NULL,"3","2013-05-21 00:00:00"
"58","RCP000000","2013-05-21 00:00:00","0","Select",NULL,NULL,"1","2013-05-21 00:00:00"
"59","RCP000039","2013-05-21 00:00:00","3000","Cash",,,"1","2013-05-21 00:00:00"
"60","RCP000040","2013-05-21 00:00:00","4000","Cash",,,"1","2013-05-22 00:00:00"
"57","RCP000041","2013-05-22 00:00:00","500","Cash",,,"3","2013-05-22 00:00:00"
"56","RCP000042","2013-05-22 00:00:00","3500","Cash",,,"1","2013-05-22 00:00:00"
"61","RCP000043","2013-05-22 00:00:00","3500","Cash",,,"1","2013-05-22 00:00:00"
"62","RCP000044","2013-05-22 00:00:00","300","Cash",,,"3","2013-05-22 00:00:00"
"63","RCP000045","2013-05-22 00:00:00","300","Cash",,,"3","2013-05-22 00:00:00"
"3","RCP000046","2013-05-23 00:00:00","1450","Cash",,,"1","2013-05-23 00:00:00"
"1","RCP000047","2013-05-23 00:00:00","1500","Cash",,,"3","2013-05-23 00:00:00"
"4","RCP000048","2013-05-23 00:00:00","1950","Cash",,,"1","2013-05-23 00:00:00"
"41","RCP000049","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-23 00:00:00"
"64","RCP000000","2013-05-23 00:00:00","0","Select",NULL,NULL,"1","2013-05-23 00:00:00"
"6","RCP000050","2013-05-24 00:00:00","750","Cash",,,"1","2013-05-24 00:00:00"
"65","RCP000000","2013-05-25 00:00:00","0","Select",NULL,NULL,"1","2013-05-25 00:00:00"
"66","RCP000051","2013-05-25 00:00:00","3500","Cash",,,"1","2013-05-25 00:00:00"
"67","RCP000000","2013-05-25 00:00:00","0","Select",NULL,NULL,"1","2013-05-25 00:00:00"
"65","RCP000052","2013-05-27 00:00:00","3500","Cash",,,"1","2013-05-27 00:00:00"
"68","RCP000053","2013-05-27 00:00:00","300","Cash",,,"3","2013-05-27 00:00:00"
"69","RCP000000","2013-05-28 00:00:00","0","Select",NULL,NULL,"1","2013-05-28 00:00:00"
"70","RCP000000","2013-05-28 00:00:00","0","Select",NULL,NULL,"1","2013-05-28 00:00:00"
"67","RCP000054","2013-05-27 00:00:00","3500","Cash",,,"1","2013-05-28 00:00:00"
"71","RCP000000","2013-05-28 00:00:00","0","Select",NULL,NULL,"1","2013-05-28 00:00:00"
"17","RCP000055","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-28 00:00:00"
"2","RCP000056","2013-05-24 00:00:00","2000","Cash",,,"3","2013-05-28 00:00:00"
"58","RCP000057","2013-05-25 00:00:00","3500","Cash",,,"1","2013-05-28 00:00:00"
"71","RCP000058","2013-05-28 00:00:00","3500","Cash",,,"1","2013-05-28 00:00:00"
"27","RCP000059","2013-05-28 00:00:00","3500","Cash",,,"1","2013-05-28 00:00:00"
"72","RCP000000","2013-05-28 00:00:00","0","Select",NULL,NULL,"1","2013-05-28 00:00:00"
"73","RCP000060","2013-05-29 00:00:00","3500","Cash",,,"1","2013-05-29 00:00:00"
"72","RCP000061","2013-05-29 00:00:00","3500","Cash",,,"1","2013-05-29 00:00:00"
"50","RCP000062","2013-05-29 00:00:00","300","Cash",,,"3","2013-05-29 00:00:00"
"74","RCP000000","2013-05-29 00:00:00","0","Select",NULL,NULL,"1","2013-05-29 00:00:00"
"75","RCP000063","2013-05-29 00:00:00","500","Cash",,,"3","2013-05-29 00:00:00"
"76","RCP000064","2013-05-29 00:00:00","3500","Cash",,,"1","2013-05-29 00:00:00"
"77","RCP000065","2013-05-30 00:00:00","300","Cash",,,"3","2013-05-30 00:00:00"
"15","RCP000066","2013-05-31 00:00:00","1950","Cash",,,"1","2013-05-30 00:00:00"
"16","RCP000067","2013-05-31 00:00:00","1050","Cash",,,"1","2013-05-30 00:00:00"
"12","RCP000068","2013-05-31 00:00:00","1450","Cash",,,"1","2013-05-30 00:00:00"
"78","RCP000000","2013-05-30 00:00:00","0","Select",NULL,NULL,"1","2013-05-30 00:00:00"
"79","RCP000000","2013-05-30 00:00:00","0","Select",NULL,NULL,"1","2013-05-30 00:00:00"
"80","RCP000069","2013-05-31 00:00:00","300","Cash",,,"3","2013-05-31 00:00:00"
"81","RCP000000","2013-05-31 00:00:00","0","Select",NULL,NULL,"1","2013-05-31 00:00:00"
"1","RCP000000","2013-04-20 00:00:00","0","Select",NULL,NULL,"3","2013-04-20 00:00:00"
"2","RCP000000","2013-04-20 00:00:00","0","Select",NULL,NULL,"3","2013-04-20 00:00:00"
"3","RCP000000","2013-04-20 00:00:00","0","Select",NULL,NULL,"1","2013-04-20 00:00:00"
"4","RCP000001","2013-04-22 00:00:00","3000","Cash",,,"1","2013-04-22 00:00:00"
"5","RCP000000","2013-04-22 00:00:00","0","Select",NULL,NULL,"1","2013-04-22 00:00:00"
"6","RCP000000","2013-04-22 00:00:00","0","Select",NULL,NULL,"1","2013-04-22 00:00:00"
"7","RCP000000","2013-04-22 00:00:00","0","Select",NULL,NULL,"1","2013-04-22 00:00:00"
"3","RCP000002","2013-04-22 00:00:00","3500","Cash",,,"1","2013-04-23 00:00:00"
"8","RCP000000","2013-04-23 00:00:00","0","Select",NULL,NULL,"1","2013-04-23 00:00:00"
"5","RCP000003","2013-04-23 00:00:00","2000","Cash",,,"1","2013-04-23 00:00:00"
"6","RCP000004","2013-04-23 00:00:00","3500","Cash",,,"1","2013-04-23 00:00:00"
"1","RCP000001","2013-04-24 00:00:00","500","Cash",,,"3","2013-04-24 00:00:00"
"9","RCP000000","2013-04-24 00:00:00","0","Select",NULL,NULL,"1","2013-04-24 00:00:00"
"10","RCP000000","2013-04-24 00:00:00","0","Select",NULL,NULL,"3","2013-04-24 00:00:00"
"11","RCP000000","2013-04-25 00:00:00","0","Select",NULL,NULL,"3","2013-04-25 00:00:00"
"12","RCP000000","2013-04-25 00:00:00","0","Select",NULL,NULL,"1","2013-04-25 00:00:00"
"13","RCP000000","2013-04-25 00:00:00","0","Select",NULL,NULL,"3","2013-04-25 00:00:00"
"14","RCP000000","2013-04-25 00:00:00","0","Select",NULL,NULL,"1","2013-04-25 00:00:00"
"15","RCP000000","2013-04-27 00:00:00","0","Select",NULL,NULL,"1","2013-04-27 00:00:00"
"12","RCP000005","2013-04-29 00:00:00","3500","Cash",,,"1","2013-04-29 00:00:00"
"15","RCP000006","2013-04-29 00:00:00","3000","Cash",,,"1","2013-04-29 00:00:00"
"16","RCP000000","2013-04-29 00:00:00","0","Select",NULL,NULL,"1","2013-04-29 00:00:00"
"14","RCP000007","2013-04-30 00:00:00","3500","Cash",,,"1","2013-04-30 00:00:00"
"17","RCP000000","2013-05-01 00:00:00","0","Select",NULL,NULL,"1","2013-05-01 00:00:00"
"8","RCP000008","2013-05-01 00:00:00","3500","Cash",,,"1","2013-05-01 00:00:00"
"18","RCP000000","2013-05-01 00:00:00","0","Select",NULL,NULL,"1","2013-05-01 00:00:00"
"18","RCP000009","2013-05-02 00:00:00","3500","Cash",,,"1","2013-05-01 00:00:00"
"19","RCP000000","2013-05-02 00:00:00","0","Select",NULL,NULL,"1","2013-05-02 00:00:00"
"20","RCP000000","2013-05-02 00:00:00","0","Select",NULL,NULL,"1","2013-05-02 00:00:00"
"21","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"22","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"23","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"6","2013-05-03 00:00:00"
"24","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"25","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"26","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"27","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"28","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"1","2013-05-03 00:00:00"
"29","RCP000000","2013-05-03 00:00:00","0","Select",NULL,NULL,"3","2013-05-03 00:00:00"
"29","RCP000002","2013-05-03 00:00:00","300","Cash",,,"3","2013-05-03 00:00:00"
"16","RCP000010","2013-04-30 00:00:00","3500","Cash",,,"1","2013-05-03 00:00:00"
"22","RCP000011","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"26","RCP000012","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"25","RCP000013","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"30","RCP000014","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"28","RCP000015","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"21","RCP000016","2013-05-06 00:00:00","3000","Cash",,,"1","2013-05-06 00:00:00"
"31","RCP000017","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"32","RCP000000","2013-05-06 00:00:00","0","Select",NULL,NULL,"1","2013-05-06 00:00:00"
"24","RCP000018","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"19","RCP000019","2013-05-06 00:00:00","3500","Cash",,,"1","2013-05-06 00:00:00"
"33","RCP000000","2013-05-07 00:00:00","0","Select",NULL,NULL,"1","2013-05-07 00:00:00"
"34","RCP000000","2013-05-07 00:00:00","0","Select",NULL,NULL,"1","2013-05-07 00:00:00"
"35","RCP000000","2013-05-07 00:00:00","0","Select",NULL,NULL,"1","2013-05-07 00:00:00"
"36","RCP000000","2013-05-08 00:00:00","0","Select",NULL,NULL,"1","2013-05-08 00:00:00"
"33","RCP000020","2013-05-08 00:00:00","3500","Cheque","500151","BANK OF INDIA","1","2013-05-08 00:00:00"
"37","RCP000000","2013-05-09 00:00:00","0","Select",NULL,NULL,"1","2013-05-09 00:00:00"
"38","RCP000000","2013-05-10 00:00:00","0","Select",NULL,NULL,"1","2013-05-10 00:00:00"
"39","RCP000000","2013-05-10 00:00:00","0","Select",NULL,NULL,"1","2013-05-10 00:00:00"
"40","RCP000000","2013-05-11 00:00:00","0","Select",NULL,NULL,"1","2013-05-11 00:00:00"
"41","RCP000000","2013-05-11 00:00:00","0","Select",NULL,NULL,"1","2013-05-11 00:00:00"
"42","RCP000000","2013-05-11 00:00:00","0","Select",NULL,NULL,"1","2013-05-11 00:00:00"
"43","RCP000000","2013-05-11 00:00:00","0","Select",NULL,NULL,"1","2013-05-11 00:00:00"
"44","RCP000021","2013-05-11 00:00:00","500","Cash",,,"3","2013-05-11 00:00:00"
"45","RCP000022","2013-05-11 00:00:00","500","Cash",,,"6","2013-05-11 00:00:00"
"34","RCP000023","2013-05-14 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"46","RCP000000","2013-05-14 00:00:00","0","Select",NULL,NULL,"1","2013-05-14 00:00:00"
"47","RCP000000","2013-05-14 00:00:00","0","Select",NULL,NULL,"1","2013-05-14 00:00:00"
"35","RCP000024","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"37","RCP000025","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"40","RCP000026","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"38","RCP000027","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"32","RCP000028","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"36","RCP000029","2013-05-13 00:00:00","3500","Cash",,,"1","2013-05-14 00:00:00"
"48","RCP000000","2013-05-15 00:00:00","0","Select",NULL,NULL,"3","2013-05-15 00:00:00"
"48","RCP000030","2013-05-15 00:00:00","300","Cash",,,"3","2013-05-15 00:00:00"
"49","RCP000000","2013-05-15 00:00:00","0","Select",NULL,NULL,"1","2013-05-15 00:00:00"
"50","RCP000000","2013-05-17 00:00:00","0","Select",NULL,NULL,"3","2013-05-17 00:00:00"
"51","RCP000000","2013-05-17 00:00:00","0","Select",NULL,NULL,"1","2013-05-17 00:00:00"
