"StuID","Reason","LastUpdatedDate"
"230","LOST","2013-10-02 00:00:00"
"231","RENEWAL OF DL","2013-10-02 00:00:00"
"247","CONVERT TO SMART CARD.","2013-10-10 00:00:00"
"265","CSC + REN","2013-10-17 00:00:00"
"270","C S C + REN + COA","2013-10-18 00:00:00"
"274","CONVERT TO SMART CARD","2013-10-19 00:00:00"
"275","CONVER TO SMART CARD","2013-10-19 00:00:00"
"276","CONVER TO SMART CARD","2013-10-19 00:00:00"
"283","CONVERT TO SMART CARD + C.O.A+ REN","2013-10-22 00:00:00"
"287","CSC","2013-10-23 00:00:00"
"291","CSC +REN","2013-10-25 00:00:00"
"293","REN + CSC","2013-10-26 00:00:00"
"297","REN  +   C S C","2013-10-26 00:00:00"
"298","REN + CSC + COA","2013-10-26 00:00:00"
"301","CSC + REN","2013-10-28 00:00:00"
"306","CSC","2013-10-29 00:00:00"
"324","CSC","2013-11-05 00:00:00"
"336","CSC + COA","2013-11-09 00:00:00"
"337","CSC+COA","2013-11-11 00:00:00"
"338","CSC +_CON","2013-11-09 00:00:00"
"353","CSC+REN","2013-11-13 00:00:00"
"372","CSC","2013-11-23 00:00:00"
"373","CSC+REN","2013-11-26 00:00:00"
"378","CSC+REN","2013-11-26 00:00:00"
"383","CSC","2013-11-28 00:00:00"
"384","CSC","2013-11-28 00:00:00"
"390","CSC+REN","2013-12-03 00:00:00"
"396","CSC+REN","2013-12-04 00:00:00"
"416","CSC+REN","2013-12-09 00:00:00"
"422","CSC+REN","2013-12-09 00:00:00"
"445","CSC +REN","2013-12-14 00:00:00"
"446","CSC + REN +COA","2013-12-14 00:00:00"
"449","CSC + REN","2013-12-14 00:00:00"
"450","CSC + REN","2013-12-14 00:00:00"
"455","DUP","2013-12-16 00:00:00"
"462","CSC + REN","2013-12-17 00:00:00"
"465","CSC + REN","2013-12-17 00:00:00"
"485","CSC+ REN","2013-12-25 00:00:00"
"490","CSC","2013-12-26 00:00:00"
"493","CSC + REN","2013-12-26 00:00:00"
"497","CSC +REN","2013-12-30 00:00:00"
"502","CSC","2013-12-30 00:00:00"
"503","CSC","2013-12-30 00:00:00"
"504","CSC","2014-01-18 00:00:00"
"509","CSC + REN","2014-01-01 00:00:00"
"512","CSC + REN","2014-01-02 00:00:00"
"516","CSC","2014-01-02 00:00:00"
"517","CSC + REN","2014-01-03 00:00:00"
"527","CSC","2014-01-04 00:00:00"
"535","CSC + REN + COA","2014-01-07 00:00:00"
"543","CSC","2014-01-08 00:00:00"
"544","CSC + REN","2014-01-08 00:00:00"
"555","CSC +REN","2014-01-09 00:00:00"
"572","CSC +RENEWAL","2014-01-13 00:00:00"
"584","CXSC + REN","2014-01-15 00:00:00"
"589","CSC","2014-01-16 00:00:00"
"594","CSC + REN","2014-01-18 00:00:00"
"602","CSC + REN","2014-01-20 00:00:00"
"632","CSC =+ REN","2014-01-28 00:00:00"
"644","CSC + REN","2014-01-30 00:00:00"
"645","CSC","2014-01-30 00:00:00"
"653","CSC","2014-01-30 00:00:00"
"668","CSC + REN","2014-02-04 00:00:00"
"679","CSC","2014-02-07 00:00:00"
"695","CSC + REN","2014-02-11 00:00:00"
