"StuID","TotalAmt","LastUpdatedDate"
"61","4950","2013-05-22 00:00:00"
"62","900","2013-05-22 00:00:00"
"63","900","2013-05-22 00:00:00"
"64","4950","2013-05-23 00:00:00"
"65","4550","2013-05-25 00:00:00"
"66","4550","2013-05-25 00:00:00"
"67","4550","2013-05-25 00:00:00"
"68","900","2013-05-27 00:00:00"
"69","4550","2013-05-28 00:00:00"
"70","4250","2013-05-28 00:00:00"
"71","4250","2013-05-28 00:00:00"
"72","5250","2013-05-28 00:00:00"
"73","4250","2013-05-29 00:00:00"
"74","5150","2013-05-29 00:00:00"
"75","1200","2013-05-29 00:00:00"
"76","5250","2013-05-29 00:00:00"
"77","900","2013-05-30 00:00:00"
"78","4250","2013-05-30 00:00:00"
"79","4250","2013-05-30 00:00:00"
"80","900","2013-05-31 00:00:00"
"81","4550","2013-05-31 00:00:00"
"82","4250","2013-06-01 00:00:00"
"83","4550","2013-06-01 00:00:00"
"84","5250","2013-06-03 00:00:00"
"85","2000","2013-06-03 00:00:00"
"86","5250","2013-06-03 00:00:00"
"87","5250","2013-06-03 00:00:00"
"88","4950","2013-06-03 00:00:00"
"89","4950","2013-06-04 00:00:00"
"90","1200","2013-06-04 00:00:00"
"91","1200","2013-06-05 00:00:00"
"92","5250","2013-06-05 00:00:00"
"93","4550","2013-06-05 00:00:00"
"94","4550","2013-06-06 00:00:00"
"95","900","2013-06-07 00:00:00"
"96","4950","2013-06-07 00:00:00"
"97","5250","2013-06-10 00:00:00"
"98","4250","2013-06-10 00:00:00"
"99","4950","2013-06-11 00:00:00"
"100","4250","2013-06-11 00:00:00"
"101","4950","2013-06-11 00:00:00"
"102","900","2013-06-11 00:00:00"
"103","2000","2013-06-12 00:00:00"
"104","4550","2013-06-13 00:00:00"
"105","4550","2013-06-13 00:00:00"
"106","4550","2013-06-13 00:00:00"
"107","4250","2013-06-14 00:00:00"
"108","4950","2013-06-14 00:00:00"
"109","5250","2013-06-14 00:00:00"
"110","4950","2013-06-14 00:00:00"
"111","900","2013-06-14 00:00:00"
"112","5250","2013-06-15 00:00:00"
"113","4950","2013-06-15 00:00:00"
"114","5250","2013-06-18 00:00:00"
"115","4250","2013-06-18 00:00:00"
"116","4950","2013-06-19 00:00:00"
"117","1200","2013-06-19 00:00:00"
"118","4950","2003-01-01 00:00:00"
"119","4950","2003-01-01 00:00:00"
"120","0","2003-01-01 00:00:00"
"121","4950","2003-01-01 00:00:00"
"122","900","2003-01-01 00:00:00"
"123","4550","2013-06-24 00:00:00"
"124","800","2003-01-01 00:00:00"
"125","4550","2003-01-01 00:00:00"
"126","4250","2003-01-01 00:00:00"
"127","5250","2013-06-26 00:00:00"
"128","900","2013-06-26 00:00:00"
"129","900","2013-06-26 00:00:00"
"130","2000","2013-06-27 00:00:00"
"131","4950","2013-06-01 00:00:00"
"132","4550","2013-06-01 00:00:00"
"133","4950","2013-06-29 00:00:00"
"134","4250","2013-07-01 00:00:00"
"135","900","2013-07-02 00:00:00"
"136","4550","2013-07-02 00:00:00"
"137","4950","2013-07-02 00:00:00"
"138","5250","2013-07-02 00:00:00"
"139","4550","2013-07-02 00:00:00"
"140","4950","2013-07-03 00:00:00"
"141","4950","2013-07-03 00:00:00"
"142","4950","2013-07-04 00:00:00"
"143","4950","2013-07-04 00:00:00"
"144","4950","2013-07-04 00:00:00"
"145","4550","2013-07-04 00:00:00"
"146","4950","2013-07-05 00:00:00"
"147","4950","2013-07-05 00:00:00"
"148","4550","2013-07-06 00:00:00"
"149","1200","2013-07-06 00:00:00"
"150","1200","2013-07-06 00:00:00"
"151","900","2013-07-08 00:00:00"
"152","4550","2013-07-09 00:00:00"
"153","4550","2013-07-10 00:00:00"
"154","3000","2013-07-11 00:00:00"
"155","3000","2013-07-11 00:00:00"
"156","5250","2013-07-11 00:00:00"
"157","4550","2013-07-13 00:00:00"
"158","1200","2013-07-16 00:00:00"
"159","900","2013-07-17 00:00:00"
"160","4950","2013-07-18 00:00:00"
"161","4950","2013-07-18 00:00:00"
"162","2050","2013-07-18 00:00:00"
"163","5250","2013-07-18 00:00:00"
"164","4550","2013-07-19 00:00:00"
"165","2050","2013-07-19 00:00:00"
"166","4550","2013-07-20 00:00:00"
"167","2050","2013-07-20 00:00:00"
"168","900","2013-07-22 00:00:00"
"169","2050","2013-07-26 00:00:00"
"170","4250","2013-07-27 00:00:00"
"171","900","2013-07-29 00:00:00"
"172","900","2013-07-30 00:00:00"
"173","4950","2013-08-02 00:00:00"
"174","4950","2013-08-06 00:00:00"
"175","4450","2013-08-06 00:00:00"
"176","1200","2013-08-07 00:00:00"
"177","4950","2013-08-08 00:00:00"
"178","2050","2013-08-08 00:00:00"
"179","4950","2013-08-08 00:00:00"
"180","3500","2013-08-10 00:00:00"
"181","4550","2013-08-12 00:00:00"
"182","5250","2013-08-12 00:00:00"
"183","5250","2013-08-13 00:00:00"
"184","5250","2013-08-14 00:00:00"
"185","4950","2013-08-14 00:00:00"
"186","4950","2013-08-17 00:00:00"
"187","4550","2013-08-21 00:00:00"
"188","5250","2013-08-21 00:00:00"
"189","900","2013-08-22 00:00:00"
"190","4550","2013-08-22 00:00:00"
"191","4950","2013-08-23 00:00:00"
"192","5250","2013-08-23 00:00:00"
"193","0","2013-08-27 00:00:00"
"194","4950","2013-08-28 00:00:00"
"195","4250","2013-08-30 00:00:00"
"196","900","2013-08-31 00:00:00"
"197","5000","2013-09-02 00:00:00"
"198","4950","2013-09-04 00:00:00"
"199","4550","2013-09-04 00:00:00"
"200","4250","2013-09-05 00:00:00"
"201","5250","2013-09-05 00:00:00"
"202","4250","2013-09-06 00:00:00"
"203","4950","2013-09-06 00:00:00"
"204","4550","2013-09-07 00:00:00"
"205","4250","2013-09-07 00:00:00"
"206","900","2013-09-11 00:00:00"
"207","900","2013-09-12 00:00:00"
"208","5250","2013-09-12 00:00:00"
"209","900","2013-09-14 00:00:00"
"210","5250","2013-09-16 00:00:00"
"211","1200","2013-09-17 00:00:00"
"212","4250","2013-09-21 00:00:00"
"213","4250","2013-09-21 00:00:00"
"214","4950","2013-09-21 00:00:00"
"215","4950","2013-09-23 00:00:00"
"216","900","2013-09-23 00:00:00"
"217","5250","2013-09-23 00:00:00"
"218","900","2013-09-23 00:00:00"
"219","4950","2013-09-23 00:00:00"
"220","4950","2013-09-25 00:00:00"
"221","1250","2013-09-25 00:00:00"
"222","5250","2013-09-25 00:00:00"
"223","2150","2013-09-26 00:00:00"
"1","2000","2013-04-20 00:00:00"
"2","2000","2013-04-20 00:00:00"
"3","4950","2013-04-20 00:00:00"
"4","4950","2013-04-22 00:00:00"
"5","4250","2013-04-22 00:00:00"
"6","4250","2013-04-22 00:00:00"
"7","0","2013-04-22 00:00:00"
"8","4950","2013-04-23 00:00:00"
"9","5250","2013-04-24 00:00:00"
"10","1200","2013-04-24 00:00:00"
"11","2000","2013-04-25 00:00:00"
"12","4950","2013-04-25 00:00:00"
"13","2000","2013-04-25 00:00:00"
"14","4550","2013-04-25 00:00:00"
"15","4950","2013-04-27 00:00:00"
"16","4550","2013-04-29 00:00:00"
"17","4950","2013-05-01 00:00:00"
"18","4550","2013-05-01 00:00:00"
"19","4250","2013-05-02 00:00:00"
"20","4400","2013-05-02 00:00:00"
"21","4250","2013-05-03 00:00:00"
"22","4950","2013-05-03 00:00:00"
"23","4250","2013-05-03 00:00:00"
"24","4550","2013-05-03 00:00:00"
"25","4950","2013-05-03 00:00:00"
"26","4950","2013-05-03 00:00:00"
"27","4250","2013-05-03 00:00:00"
"28","5250","2013-05-03 00:00:00"
"29","900","2013-05-03 00:00:00"
"30","5350","2013-05-06 00:00:00"
"31","4500","2013-05-06 00:00:00"
"32","4950","2013-05-06 00:00:00"
"33","4250","2013-05-07 00:00:00"
"34","4250","2013-05-07 00:00:00"
"35","5250","2013-05-07 00:00:00"
"36","4250","2013-05-08 00:00:00"
"37","4550","2013-05-09 00:00:00"
"38","4550","2013-05-10 00:00:00"
"39","5250","2013-05-10 00:00:00"
"40","5350","2013-05-11 00:00:00"
"41","4950","2013-05-11 00:00:00"
"42","4550","2013-05-11 00:00:00"
"43","4550","2013-05-11 00:00:00"
"44","1200","2013-05-11 00:00:00"
"45","1300","2013-05-11 00:00:00"
"46","4950","2013-05-14 00:00:00"
"47","4950","2013-05-14 00:00:00"
"48","900","2013-05-15 00:00:00"
"49","4550","2013-05-15 00:00:00"
"50","900","2013-05-17 00:00:00"
"51","4550","2013-05-17 00:00:00"
"52","4950","2013-05-20 00:00:00"
"53","900","2013-05-20 00:00:00"
"54","4950","2013-05-20 00:00:00"
"55","4550","2013-05-20 00:00:00"
"56","5450","2013-05-21 00:00:00"
"57","1200","2013-05-21 00:00:00"
"58","4950","2013-05-21 00:00:00"
"59","4250","2013-05-21 00:00:00"
"60","4900","2013-05-22 00:00:00"
"224","4550","2013-09-28 00:00:00"
"225","800","2013-09-28 00:00:00"
"226","5250","2013-09-30 00:00:00"
"227","4550","2013-09-30 00:00:00"
"228","700","2013-10-01 00:00:00"
"229","4950","2013-10-01 00:00:00"
"230","600","2013-10-02 00:00:00"
"231","800","2013-10-02 00:00:00"
"232","5250","2013-10-03 00:00:00"
"233","2100","2013-10-04 00:00:00"
"234","4950","2013-10-04 00:00:00"
"235","4950","2013-10-04 00:00:00"
"236","900","2013-10-04 00:00:00"
"237","900","2013-10-04 00:00:00"
"238","4550","2013-10-07 00:00:00"
"239","5250","2013-10-07 00:00:00"
"240","4550","2013-10-07 00:00:00"
"241","4250","2013-10-07 00:00:00"
"242","900","2013-10-08 00:00:00"
"243","0","2013-10-08 00:00:00"
"244","4550","2013-10-08 00:00:00"
"245","4250","2013-10-08 00:00:00"
"246","1000","2013-10-10 00:00:00"
"247","650","2013-10-10 00:00:00"
"248","4550","2013-10-10 00:00:00"
"249","900","2013-10-11 00:00:00"
"250","4950","2013-10-11 00:00:00"
"251","4950","2013-10-12 00:00:00"
"252","4250","2013-10-12 00:00:00"
"253","5250","2013-10-12 00:00:00"
"254","5250","2013-10-12 00:00:00"
"255","4550","2013-10-12 00:00:00"
"256","4550","2013-10-14 00:00:00"
"257","5250","2013-10-14 00:00:00"
"258","4950","2013-10-14 00:00:00"
"259","900","2013-10-14 00:00:00"
"260","900","2013-10-15 00:00:00"
"261","4550","2013-10-16 00:00:00"
"262","5250","2013-10-16 00:00:00"
"263","2700","2013-10-17 00:00:00"
"264","700","2013-10-17 00:00:00"
"265","800","2013-10-17 00:00:00"
"266","4550","2013-10-17 00:00:00"
"267","5250","2013-10-17 00:00:00"
"268","5250","2013-10-17 00:00:00"
"269","4550","2013-10-17 00:00:00"
"270","1200","2013-10-18 00:00:00"
"271","350","2013-10-18 00:00:00"
"272","5250","2013-10-18 00:00:00"
"273","5250","2013-10-18 00:00:00"
"274","650","2013-10-19 00:00:00"
