"CarFuleID","CarID","CarName","FuleDT","StartKM","CloseKM","FuleType","FuleAmt","FuleQty"
"1","2","2 - SWIFT DZIRE","July2013","50274","52364","CNG","3671","1"
"2","3","3 - WAGON-R","July2013","38705","40387","CNG","2670","1"
"3","5","5 - HYUNDAI ACCENT","July2013","53444","54990","CNG","3332","1"
"4","4","4 - HYUNDAI- I 10","July2013","37811","39386","CNG","2894","1"
"5","5","5 - HYUNDAI ACCENT","August2013","54990","55118","CNG","300","2"
"6","2","2 - SWIFT DZIRE","August2013","52364","54417","CNG","4118","2"
"7","4","4 - HYUNDAI- I 10","August2013","39386","40547","CNG","3078","2"
"8","3","3 - WAGON-R","August2013","40387","41519","CNG","3371","2"
"9","4","4 - HYUNDAI- I 10","August2013","39386","40547","Petrol","400","3"
"10","2","2 - SWIFT DZIRE","August2013","52364","54417","Petrol","450","3"
"11","2","2 - SWIFT DZIRE","September2013","54417","56394","CNG","3321","4"
"12","4","4 - HYUNDAI- I 10","September2013","40547","41958","CNG","2441","4"
"13","3","3 - WAGON-R","September2013","41519","42497","CNG","2048","4"
"14","5","5 - HYUNDAI ACCENT","September2013","54990","56394","CNG","1298","4"
"15","5","5 - HYUNDAI ACCENT","October2013","55719","56572","CNG","2451","5"
"16","2","2 - SWIFT DZIRE","October2013","56394","58418","CNG","3749","5"
"17","4","4 - HYUNDAI- I 10","October2013","41958","43392","CNG","2484","5"
"18","3","3 - WAGON-R","October2013","42497","43653","CNG","1805","5"
"19","5","5 - HYUNDAI ACCENT","November2013","56572","58392","CNG","3878","6"
"20","2","2 - SWIFT DZIRE","November2013","58418","60547","CNG","3875","6"
"21","4","4 - HYUNDAI- I 10","November2013","43392","44944","CNG","3498","6"
"22","3","3 - WAGON-R","November2013","43653","44666","CNG","2749","6"
"23","5","5 - HYUNDAI ACCENT","December2013","58392","60370","CNG","3471","7"
"24","2","2 - SWIFT DZIRE","December2013","60547","62195","CNG","4155","7"
"25","4","4 - HYUNDAI- I 10","December2013","44944","45875","CNG","1404","7"
"26","3","3 - WAGON-R","December2013","44666","46135","CNG","2970","7"
"27","5","5 - HYUNDAI ACCENT","January2014","60370","62290","CNG","4097","8"
"28","2","2 - SWIFT DZIRE","January2014","62195","63927","CNG","3469","8"
"29","4","4 - HYUNDAI- I 10","January2014","45875","47256","CNG","3841","8"
"30","3","3 - WAGON-R","January2014","46135","47943","CNG","3793","8"
"31","2","2 - SWIFT DZIRE","February2014","63927","65924","CNG","4259","9"
"32","3","3 - WAGON-R","February2014","47943","49211","CNG","2699","9"
"33","4","4 - HYUNDAI- I 10","February2014","47256","48654","CNG","2965","9"
"34","5","5 - HYUNDAI ACCENT","February2014","62290","64418","CNG","4077","9"
"35","2","2 - SWIFT DZIRE","March2014","65924","67866","CNG","4521","10"
"36","3","3 - WAGON-R","March2014","49211","50630","CNG","3575","10"
